,weight,CONS_Total,vatax,table_row
8064,44.575405,1496.5875002213927,209.522250030995,1
4313,17.630356,1790.7884618033756,250.7103846524726,1
255,54.15656,1790.7884618033759,196.98673079837135,1
4546,16.802084,1918.70192336076,268.6182692705064,1
6038,179.23029,1944.2846156722367,182.66042310394434,1
325,52.282356,2148.9461541640508,265.0366923468996,1
6866,66.32387,2200.1115387870045,236.38407695804563,1
7878,21.712374,2430.355769590296,286.5261538885402,1
1680,81.66564,2481.5211542132497,311.5971923537875,1
8105,21.334108,2519.895192680465,2759.605019639003,1
3929,87.74173,3031.5490389100005,424.4168654474001,1
3578,94.13754,3197.8365389346,594.5417693187208,1
2553,26.763088,3325.750000491985,465.60500006887787,1
7842,36.54446,3530.411538983799,315.17876927739417,1
8097,42.030693,3581.5769236067513,501.4207693049452,1
699,133.4445,3632.7423082297064,365.32084620788885,1
983,119.42878,3965.317308278903,1070.891500158419,1
8182,12.541931,4553.71923144287,350.99453851346163,1
1177,78.390396,4950.250962270761,3090.9008850726273,1
1117,84.210594,5333.991346942913,746.7587885720079,1
3923,87.74173,5487.487500811773,768.2482501136483,1
786,147.25504,5602.609616213419,0.0,1
3776,100.74752,5653.775000836373,0.0,1
4424,45.313828,5679.357693147849,481.7220962251082,1
6527,46.38562,5832.85384701671,393.9734615967427,1
646,187.26065,6011.932693197047,3248.490269711325,1
7261,55.145836,6152.637500910169,5983.024250885081,1
3605,53.27932,6254.968270156079,875.695557821851,1
8180,12.541931,6459.629808647892,3284.306038947392,1
1197,146.16542,6574.751924049538,920.4652693669353,1
7783,15.624219,7214.319231836457,1010.004692457104,1
1763,51.161144,7316.650001082364,336.6682308190347,1
2153,28.826862,7367.81538570532,343.83138466624814,1
1114,84.210594,7572.4769241971335,415.46292313838325,1
143,69.68797,8212.044231984051,820.1811155059462,1
7963,20.657774,8263.209616607008,1669.014846400747,1
521,196.74655,8698.115385902112,96.70257693738232,1
6891,105.4164,8698.115385902112,4620.23423145271,1
6330,70.28125,8902.776924393926,300.8524615829671,1
7977,21.691416,8902.776924393926,573.0523077770803,1
5800,367.36108,8928.359616705404,1249.9703463387566,1
4137,20.287352,9081.855770574264,4279.984423710068,1
269,33.126137,9337.682693689032,2159.690884934871,1
167,43.80128,9465.596155246416,1325.1834617344985,1
8145,25.81471,9567.926924492322,1067.309923234812,1
867,136.58437,9606.30096295954,259.66432696148956,1
930,133.54916,9619.092309115278,1346.672923276139,1
1970,58.437584,9810.962501451351,2523.2209426809577,1
8184,12.541931,9836.545193762828,1323.3926732726948,1
1074,95.788826,10079.58077072186,1321.6018848108918,1
3637,152.33253,10130.746155344814,1239.2256155679365,1
7888,14.864314,10284.242309213672,734.2232693393842,1
7896,13.027424,10476.11250154975,1928.6791733622363,1
912,295.2125,10770.313463131735,365.32084620788874,1
622,326.54654,10872.64423237764,1208.7822117172789,1
8283,31.064322,10949.392309312072,1275.0413848040039,1
2899,25.940062,11141.262501648147,2641.4129811599796,1
7058,4.1379266,11691.290386344897,89.53942309016882,1
8219,9.144867,11716.873078656372,4244.168654474,1
5899,242.88655,11998.28269408262,778.9929808844687,1
1818,74.1719,12330.857694131817,952.6994616793959,1
6331,70.28125,12535.519232623634,497.8391923813385,1
