,index,vatax_2025,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030
0,<0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0
2,0-10k,4,4,4,4,4,4,4
3,10k-25k,12,12,12,10,8,7,7
4,25k-50k,92,92,73,59,52,50,48
5,50k-75k,115,115,127,138,143,125,110
6,75k-100k,200,200,174,143,130,115,120
7,100k-200k,"1,354","1,354","1,306","1,217","1,176","1,137","1,030"
8,200k-500k,"6,195","6,195","6,067","6,061","5,971","5,756","5,552"
9,500k-1m,"6,812","6,812","7,438","7,780","8,176","8,760","9,339"
10,>1m,"8,671","8,671","9,913","11,481","13,138","14,898","16,844"
11,ALL,"23,455","23,455","25,115","26,893","28,797","30,852","33,055"
